num_numerator,num_denominator,date_recorded,pokemon_ID,pokemon_name,shiny_rate_frac,shiny_rate,sample_size
1,363,2020-05-29,1,Bulbasaur,1/363,0.0027548209366391185,"2,544"
1,742,2020-05-29,4,Charmander,1/742,0.0013477088948787063,"1,485"
1,398,2020-05-29,7,Squirtle,1/398,0.002512562814070352,"1,196"
1,379,2020-05-29,10,Caterpie,1/379,0.002638522427440633,"1,517"
1,977,2020-05-29,16,Pidgey,1/977,0.0010235414534288639,977
1,1739,2020-05-29,19,Rattata,"1/1,739",5.750431282346176e-4,"3,478"
1,422,2020-05-29,23,Ekans,1/422,0.002369668246445498,"2,536"
1,651,2020-05-29,25,Pikachu,1/651,0.0015360983102918587,"78,885"
1,668,2020-05-29,29,Nidoran♀,1/668,0.0014970059880239522,"1,337"
1,1373,2020-05-29,32,Nidoran♂,"1/1,373",7.283321194464676e-4,"1,373"
1,1019,2020-05-29,41,Zubat,"1/1,019",9.813542688910696e-4,"2,039"
1,469,2020-05-29,52,Meowth,1/469,0.0021321961620469083,"1,407"
1,537,2020-05-29,54,Psyduck,1/537,0.00186219739292365,"2,686"
1,475,2020-05-29,56,Mankey,1/475,0.002105263157894737,"2,378"
1,509,2020-05-29,58,Growlithe,1/509,0.0019646365422396855,"6,115"
1,945,2020-05-29,60,Poliwag,1/945,0.0010582010582010583,945
1,171,2020-05-29,63,Abra,1/171,0.005847953216374269,685
1,596,2020-05-29,66,Machop,1/596,0.0016778523489932886,"4,771"
1,497,2020-05-29,72,Tentacool,1/497,0.002012072434607646,"1,991"
1,417,2020-05-29,74,Geodude,1/417,0.002398081534772182,"7,925"
1,194,2020-05-29,77,Ponyta,1/194,0.005154639175257732,"1,165"
1,453,2020-05-29,81,Magnemite,1/453,0.002207505518763797,"5,441"
1,351,2020-05-29,86,Seel,1/351,0.002849002849002849,351
1,458,2020-05-29,92,Gastly,1/458,0.002183406113537118,458
1,92,2020-05-29,95,Onix,1/92,0.010869565217391304,738
1,575,2020-05-29,98,Krabby,1/575,0.0017391304347826088,575
1,732,2020-05-29,102,Exeggcute,1/732,0.001366120218579235,"1,465"
1,407,2020-05-29,109,Koffing,1/407,0.002457002457002457,"4,888"
1,565,2020-05-29,111,Rhyhorn,1/565,0.0017699115044247787,"3,955"
1,447,2020-05-29,115,Kangaskhan,1/447,0.0022371364653243847,"2,239"
1,371,2020-05-29,116,Horsea,1/371,0.0026954177897574125,"1,113"
1,39,2020-05-29,123,Scyther,1/39,0.02564102564102564,"1,026"
1,466,2020-05-29,126,Magmar,1/466,0.002145922746781116,466
1,405,2020-05-29,127,Pinsir,1/405,0.0024691358024691358,810
1,734,2020-05-29,128,Tauros,1/734,0.0013623978201634877,734
1,650,2020-05-29,129,Magikarp,1/650,0.0015384615384615385,"1,952"
1,32,2020-05-29,131,Lapras,1/32,0.03125,32
1,631,2020-05-29,133,Eevee,1/631,0.001584786053882726,"5,050"
1,697,2020-05-29,138,Omanyte,1/697,0.0014347202295552368,"2,092"
1,89,2020-05-29,147,Dratini,1/89,0.011235955056179775,178
1,1514,2020-05-29,152,Chikorita,"1/1,514",6.605019815059445e-4,"1,514"
